Sample_Code,Date,Site,Treatment_label,Treatment,Replicate,Subsample,Labels,Plot,RCGbiomass,Non-RCGbiomass,Moisture,Temp,pH,TOC,TN,OM,NH4-N,NO3-N
WL_HC_057,24-Jul-13,Henry County,D,Acorn,3,2,HC_D3_ss2,D3,22.22,0,30.57,20.3,7.65,4.819,0.29495,8.882,8.075,16.95
WL_HC_058,24-Jul-13,Henry County,D,Acorn,3,3,HC_D3_ss3,D3,20.9,0,28.51,21.2,7.625,4.801,0.3006,8.848,9.85,17.55
WL_HC_059,24-Jul-13,Henry County,D,Acorn,3,4,HC_D3_ss4,D3,46.85,0,31.44,20.6,7.6,4.8435,0.28525,8.926,9.425,25.175
WL_HC_060,24-Jul-13,Henry County,D,Acorn,3,5,HC_D3_ss5,D3,100.15,0,32.35,20.9,7.55,4.9505,0.30175,9.1195,9.225,31.65
WL_HC_061,24-Jul-13,Henry County,E,Seedbank,1,1,HC_E1_ss1,E1,2.57,1.24,37.33,22,7.55,5.242,0.3331,9.6465,10.6,13.825
WL_HC_062,24-Jul-13,Henry County,E,Seedbank,1,2,HC_E1_ss2,E1,0,0,34.92,22.1,7.45,5.834,0.3661,10.717,11.6,28.325
WL_HC_063,24-Jul-13,Henry County,E,Seedbank,1,3,HC_E1_ss3,E1,35.35,0,31.81,21.9,7.575,5.5045,0.3581,10.122,9.525,21.5
WL_HC_064,24-Jul-13,Henry County,E,Seedbank,1,4,HC_E1_ss4,E1,78.51,0,32.06,21.1,7.5,5.4805,0.3681,10.0775,10.875,33.35
WL_HC_065,24-Jul-13,Henry County,E,Seedbank,1,5,HC_E1_ss5,E1,165.74,0,32.38,22.7,7.55,5.267,0.3393,9.6925,8.65,41.875
WL_HC_066,24-Jul-13,Henry County,E,Seedbank,2,1,HC_E2_ss1,E2,58.66,0,33.16,22.1,7.525,5.5965,0.3899,10.2885,8.95,28.5
WL_HC_067,24-Jul-13,Henry County,E,Seedbank,2,2,HC_E2_ss2,E2,99.5,0,32.37,22.5,7.55,5.4055,0.35985,9.943,9.725,25.175
WL_HC_068,24-Jul-13,Henry County,E,Seedbank,2,3,HC_E2_ss3,E2,67.5,0,32.72,21.6,7.5,5.617,0.37095,10.3255,10.625,30.825
WL_HC_069,24-Jul-13,Henry County,E,Seedbank,2,4,HC_E2_ss4,E2,42.93,0,31,22.3,7.55,5.3535,0.35315,9.849,9.05,19.3
WL_HC_070,24-Jul-13,Henry County,E,Seedbank,2,5,HC_E2_ss5,E2,29.3,0,29.06,23.2,7.55,5.2505,0.34675,9.6625,8.225,30.225
WL_HC_071,24-Jul-13,Henry County,E,Seedbank,3,1,HC_E3_ss1,E3,101.14,0,35.35,19.9,7.475,5.469,0.3803,10.0575,10.675,31.55
WL_HC_072,24-Jul-13,Henry County,E,Seedbank,3,2,HC_E3_ss2,E3,83.47,0,31.07,19.6,7.475,4.3295,0.292,7.9935,10.625,20.625
WL_HC_073,24-Jul-13,Henry County,E,Seedbank,3,3,HC_E3_ss3,E3,84.82,0,30.7,19.8,7.625,5.0655,0.3364,9.3275,7.775,14.775
WL_HC_074,24-Jul-13,Henry County,E,Seedbank,3,4,HC_E3_ss4,E3,80.22,0,30.73,18.9,7.65,5.0615,0.32695,9.32,7.975,16.9
WL_HC_075,24-Jul-13,Henry County,E,Seedbank,3,5,HC_E3_ss5,E3,75.38,0,31.76,20,7.6,4.955,0.30675,9.127,9.55,24.475
WL_HC_076,24-Jul-13,Henry County,R,Reference,1,1,HC_R1_ss1,R1,0,0.67,28.99,19.9,7.65,4.87,0.3023,8.973,9.525,9.85
WL_HC_077,24-Jul-13,Henry County,R,Reference,1,2,HC_R1_ss2,R1,0,0,31.25,19.7,7.6,5.304,0.31465,9.759,9.175,9.375
WL_HC_078,24-Jul-13,Henry County,R,Reference,1,3,HC_R1_ss3,R1,0,2.22,31.3,20.3,7.55,4.9635,0.31175,9.1435,11.25,21.55
WL_HC_079,24-Jul-13,Henry County,R,Reference,1,4,HC_R1_ss4,R1,0,0.1,32.13,20.3,7.55,5.49,0.3274,10.0955,10.075,18.625
WL_HC_080,24-Jul-13,Henry County,R,Reference,1,5,HC_R1_ss5,R1,0.01,0,29.15,20.8,7.55,5.0655,0.3383,9.328,9.1,17.4
WL_HC_081,24-Jul-13,Henry County,R,Reference,2,1,HC_R2_ss1,R2,0.03,0,28.22,19.8,7.6,4.819,0.2957,8.882,8.975,9.7
WL_HC_082,24-Jul-13,Henry County,R,Reference,2,2,HC_R2_ss2,R2,0,0,27.51,19.9,7.55,5.341,0.3223,9.8265,9.675,7.9
WL_HC_083,24-Jul-13,Henry County,R,Reference,2,3,HC_R2_ss3,R2,0,0,38.95,20.2,7.6,5.053,0.3139,9.3055,11.05,3.41
WL_HC_084,24-Jul-13,Henry County,R,Reference,2,4,HC_R2_ss4,R2,0,0,33.66,21,7.65,4.9635,0.3193,9.1435,11.425,9.05
WL_HC_085,24-Jul-13,Henry County,R,Reference,2,5,HC_R2_ss5,R2,0,0,41.05,21.7,7.55,5.505,0.3587,10.1225,13.075,5.475
WL_HC_086,24-Jul-13,Henry County,R,Reference,3,1,HC_R3_ss1,R3,0.03,0,34.47,20.6,7.575,5.269,0.31945,9.6965,12.05,10.6
WL_HC_087,24-Jul-13,Henry County,R,Reference,3,2,HC_R3_ss2,R3,0,0,44.06,20.8,7.55,5.4475,0.33665,10.019,10.05,1.51
WL_HC_088,24-Jul-13,Henry County,R,Reference,3,3,HC_R3_ss3,R3,0,0,44.31,21.2,7.5,5.857,0.3915,10.758,9.725,4.225
WL_HC_089,24-Jul-13,Henry County,R,Reference,3,4,HC_R3_ss4,R3,0,2.23,37.47,21.9,7.5,5.49,0.36695,10.096,11.225,32.375
WL_HC_090,24-Jul-13,Henry County,R,Reference,3,5,HC_R3_ss5,R3,0,3.02,36.11,21.3,7.425,5.4955,0.3924,10.106,12.125,18.1
