ID,Acer saccharinum,Aster lanceolatus var. simplex,BARE,Bidens frondosa,Carex sp.,Elymus virginicus,Impatiens capensis,Leersia virginica,Lemna minor,Lycopus virginicus,Morus alba,Persicaria pensylvanica,Phalaris arundinacea,Physostegia virginiana,Pilea pumila,Sicyos angulatus,Stachys palustris,Ulmus americana,Vitis riparia
HC_D2_SS1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HC_D2_SS2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HC_D2_SS3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HC_D2_SS4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HC_D2_SS5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HC_D3_SS1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HC_D3_SS2,0,0,0.85,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0
HC_D3_SS3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HC_D3_SS4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HC_D3_SS5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HC_E1_SS1,0,0,0.971428571,0,0,0,0,0,0,0,0,0,0.028571429,0,0,0,0,0,0
HC_E1_SS2,0,0,0.961538462,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0
HC_E1_SS3,0,0,0.028571429,0,0,0,0,0,0,0,0,0,0.971428571,0,0,0,0,0,0
HC_E1_SS4,0,0,0.028571429,0,0,0,0,0,0,0,0,0,0.971428571,0,0,0,0,0,0
HC_E1_SS5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HC_E2_SS1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HC_E2_SS2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HC_E2_SS3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HC_E2_SS4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HC_E2_SS5,0,0,0.028571429,0,0,0,0,0,0,0,0,0,0.971428571,0,0,0,0,0,0
HC_E3_SS1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HC_E3_SS2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HC_E3_SS3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HC_E3_SS4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HC_E3_SS5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HC_R1_SS1,0,0.023809524,0.928571429,0,0.023809524,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0
HC_R1_SS2,0,0,0.975,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0
HC_R1_SS3,0,0.130434783,0.847826087,0,0,0,0,0,0,0,0,0,0,0,0.02173913,0,0,0,0
HC_R1_SS4,0,0,0.951219512,0,0,0,0,0,0,0,0,0,0.024390244,0,0,0,0.024390244,0,0
HC_R1_SS5,0,0,0.951219512,0,0,0,0.024390244,0,0,0,0,0,0.024390244,0,0,0,0,0,0
HC_R2_SS1,0,0.024390244,0.951219512,0,0,0,0,0,0,0,0,0,0.024390244,0,0,0,0,0,0
HC_R2_SS2,0,0,0.975,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0
HC_R2_SS3,0.024390244,0,0.951219512,0,0,0,0,0,0.024390244,0,0,0,0,0,0,0,0,0,0
HC_R2_SS4,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0
HC_R2_SS5,0.023809524,0,0.928571429,0,0,0,0,0,0.023809524,0,0,0,0,0,0,0,0.023809524,0,0
HC_R3_SS1,0,0,0.951219512,0.024390244,0,0,0,0,0,0,0,0,0.024390244,0,0,0,0,0,0
HC_R3_SS2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HC_R3_SS3,0.023809524,0,0.928571429,0.023809524,0,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0
HC_R3_SS4,0,0.025,0.625,0,0,0.15,0,0.025,0.025,0,0,0.15,0,0,0,0,0,0,0
HC_R3_SS5,0,0,0.755555556,0.022222222,0,0,0,0.022222222,0.022222222,0.133333333,0.022222222,0,0,0.022222222,0,0,0,0,0
